,word,vec
51251,imitative,
51252,figurative,
51253,iconic,
51254,like,
51255,graphic,
51256,cinquecento quattrocento,
51257,trecento,
51258,misrepresentation,
51259,distortion,
51260,caricatura,
51261,exaggeration,
51262,daubing,
51263,bad likeness,
51264,daub,
51265,sign painting,
51266,scratch,
51267,caricature,
51268,anamorphosis,
51269,burlesque,
51270,falsification,
51271,misstatement,
51272,parody,
51273,lampoon,
51274,take-off,
51275,travesty,
51276,misrepresent,
51277,distort,
51278,overdraw,
51279,exaggerate,
51280,caricature,
51281,daub,
51282,burlesque,
51283,parody,
51284,travesty,
51285,misrepresented,
51286,painting,
51287,depicting,
51288,drawing,
51289,design,
51290,perspective,
51291,sciagraphy,
51292,skiagraphy,
51293,chiaroscuro,
51294,composition,
51295,treatment,
51296,historical painting,
51297,portrait painting,
51298,miniature painting,
51299,landscape painting,
51300,marine painting,
51301,still life,
51302,flower painting,
51303,scene painting,
51304,scenography,
51305,school,
51306,style,
51307,the grand style,
51308,high art,
51309,genre,
51310,portraiture,
51311,ornamental art,
51312,monochrome,
51313,polychrome,
51314,grisaille,
51315,pallet,
51316,palette,
51317,easel,
51318,brush,
51319,pencil,
51320,stump,
51321,black lead,
51322,charcoal,
51323,crayons,
51324,chalk,
51325,pastel,
51326,paint,
51327,watercolor,
51328,body color,
51329,oil color,
51330,oils,
51331,oil paint,
51332,varnish,
51333,priming,
51334,gouache,
51335,tempera,
51336,distemper,
51337,fresco,
51338,water glass,
51339,enamel,
51340,encaustic painting,
51341,mosaic,
51342,tapestry,
51343,photography,
51344,heliography,
51345,color photography,
51346,sun painting,
51347,graphics,
51348,computer graphics,
51349,picture,
51350,painting,
51351,piece,
51352,tableau,
51353,canvas,
51354,oil painting,
51355,fresco,
51356,cartoon,
51357,easel picture,
51358,cabinet picture,
51359,draught,
51360,draft,
51361,pencil drawing,
51362,water color drawing,
51363,etching,
51364,charcoal,
51365,pen-and-ink,
51366,sketch,
51367,outline,
51368,study,
51369,photograph,
51370,color photograph,
51371,black-and-white photograph,
51372,holograph,
51373,heliograph,
51374,daguerreotype,
51375,talbotype,
51376,calotype,
51377,heliotype,
51378,negative,
51379,positive,
51380,print,
51381,glossy print,
51382,matte print,
51383,enlargement,
51384,reduction,
51385,life-size print,
51386,instant photo,
51387,Polaroid photo,
51388,technicolor,
51389,Kodachrome,
51390,Ektachrome,
51391,Polaroid,
51392,portrait,
51393,whole length,
51394,full length,
51395,half length,
51396,kitcat,
51397,head,
51398,miniature,
51399,shade,
51400,silhouette,
51401,profile,
51402,landscape,
51403,seapiece,
51404,view,
51405,scene,
51406,prospect,
51407,panorama,
51408,diorama,
51409,still life,
51410,picture gallery,
51411,exhibit,
51412,studio,
51413,atelier,
51414,pinacotheca,
51415,paint,
51416,design,
51417,limn draw,
51418,sketch,
51419,pencil,
51420,scratch,
51421,shade,
51422,stipple,
51423,hatch,
51424,dash off,
51425,chalk out,
51426,square up,
51427,color,
51428,dead color,
51429,wash,
51430,varnish,
51431,draw in pencil,
51432,paint in oils,
51433,stencil,
51434,depict,
51435,painted,
51436,pictorial,
51437,graphic,
51438,picturesque,
51439,pencil,
51440,oil,
51441,in pencil,
51442,fecit,
51443,delineavit,
51444,mutum est pictura poema,
51445,sculpture,
51446,insculpture,
51447,carving,
51448,statuary,
51449,high relief,
51450,low relief,
51451,bas relief,
51452,relief,
51453,relieve,
51454,bassorilievo,
51455,altorilievo,
51456,mezzorilievo,
51457,intaglio,
51458,anaglyph,
51459,medal,
51460,medallion,
51461,cameo,
51462,marble,
51463,bronze,
51464,terra cotta,
51465,papier-mache,
51466,ceramic ware,
51467,pottery,
51468,porcelain,
51469,china,
51470,earthenware,
51471,cloisonne,
51472,enamel,
51473,faience,
51474,Laocoon,
51475,satsuma,
51476,statue,
51477,cast,
51478,glyptotheca,
51479,sculpture,
51480,carve,
51481,cut,
51482,chisel,
51483,model,
51484,mold,
51485,cast,
51486,sculptured,
51487,in relief,
51488,anaglyptic,
51489,ceroplastic,
51490,ceramic,
51491,parian,
51492,marble,
51493,xanthian,
51494,engraving,
51495,chalcography,
51496,line engraving,
51497,mezzotint engraving,
51498,stipple engraving,
51499,chalk engraving,
51500,dry point,
51501,bur,
51502,etching,
51503,aquatinta,
51504,chiseling,
51505,plate engraving,
51506,copperplate engraving,
51507,steel engraving,
51508,wood engraving,
51509,xylography,
51510,lignography,
51511,glyptography,
51512,cerography,
51513,lithography,
51514,chromolithography,
51515,photolithography,
51516,zincography,
51517,glyphography,
51518,xylograph,
51519,lignograph,
51520,glyptograph,
51521,cerograph,
51522,lithograph,
51523,chromolithograph,
51524,photolithograph,
51525,zincograph,
51526,glyphograph,
51527,holograph,
51528,impression,
51529,print,
51530,engraving,
51531,plate,
51532,steelplate,
51533,copperplate,
51534,etching,
51535,mezzotint,
51536,aquatint,
51537,lithotint,
51538,cut,
51539,woodcut,
51540,stereotype,
51541,graphotype,
51542,autotype,
51543,heliotype,
51544,graver,
51545,burin,
51546,etching point,
51547,style,
51548,plate,
51549,stone,
51550,wood block,
51551,negative,
51552,die,
51553,punch,
51554,stamp,
51555,printing,
51556,plate printing,
51557,copperplate printing,
51558,anastatic printing,
51559,color printing,
51560,lithographic printing,
51561,type printing,
51562,three-color process,
51563,illustration,
51564,illumination,
51565,half tone,
51566,photogravure,
51567,vignette,
51568,initial letter,
51569,cul de lampe,
51570,tailpiece,
51571,        ,
51572,lapidary,
51573,lapidarian,
51574,engrave,
51575,grave,
51576,stipple,
51577,scrape,
51578,etch,
51579,bite,
51580,bite in,
51581,lithograph,
51582,print,
51583,insculptured,
51584,engraved,
51585,lapidary,
51586,sculpsit,
51587,imprimit,
51588,artist,
51589,painter,
51590,limner,
51591,drawer,
51592,sketcher,
51593,designer,
51594,engraver,
51595,master,
51596,old master,
51597,draftsman,
51598,draughtsman,
51599,copyist,
51600,dauber,
51601,hack,
51602,enamel,
51603,enameler,
51604,enamelist,
51605,caricaturist,
51606,historical painter,
51607,landscape painter,
51608,marine painter,
51609,flower painter,
51610,portrait painter,
51611,miniature painter,
51612,miniaturist,
51613,scene painter,
51614,sign painter,
51615,coach painter,
51616,engraver,
51617,Apelles,
51618,sculptor,
51619,carver,
51620,chaser,
51621,modeler,
51622,figuriste,
51623,statuary,
51624,Phidias,
51625,Praxiteles,
51626,Royal Academician,
